model,rmse,mae,r2,mape,cv_mean,cv_std
LinearRegression,21.967009021983113,14.983368835370952,0.8872308214471788,13.248234550165003,20.83350217322252,4.509049442139609
Ridge,21.967043200589195,14.983393294340493,0.887230470530372,13.248181266186082,20.962725205918282,4.701994295369243
Lasso,21.996850465697253,14.98538916232212,0.8869242270588995,13.218315420250198,20.15939011718131,3.6432575938726828
KNN,27.608546960004272,19.570071562259166,0.8218705771824276,18.323138190370358,26.39807165110176,5.526814723278542
RandomForest,20.55363547987449,13.45549452041794,0.9012752914868888,11.712505913485419,19.82611231321449,3.944489762586375
GradientBoosting,20.412129384577636,13.69417326772354,0.9026299966165126,12.0936871110556,19.796172355413347,4.0818226505128985
XGBoost,20.471296358789175,13.713800430297852,0.9020646810531616,12.089701741933823,19.756440734863283,4.114708045571065
LightGBM,20.288406537748088,13.549571652734828,0.9038067855953424,11.915984695586417,19.585584697765963,3.928471949387247
CatBoost,20.511874498645383,13.957047537623056,0.90167606265934,12.337691334325262,19.757621573959046,3.9668456788311186
